old	new	source
sbrowser-enter-new-effect-editor	eseq.browser/enter-new-effect-editor	content/ui/browser.lisp
sbrowser-enter-preset-save	eseq.browser/enter-preset-save	content/ui/browser.lisp
sbrowser-filter	eseq.browser/search-filter	content/ui/browser.lisp
sbrowser-focus-create-item	eseq.browser/focus-create-item	content/ui/browser.lisp
sbrowser-fork-selected-audio-effect	eseq.browser/fork-selected-audio-effect	content/ui/browser.lisp
sbrowser-fork-selected-instrument	eseq.browser/fork-selected-instrument	content/ui/browser.lisp
sbrowser-header	eseq.browser/search-header	content/ui/browser.lisp
sbrowser-list-contains?	eseq.browser/list-contains?	content/ui/browser.lisp
sbrowser-new-project	eseq.browser/new-project	content/ui/browser.lisp
sbrowser-next-tab	eseq.browser/next-tab	content/ui/browser.lisp
sbrowser-open-project-save	eseq.browser/open-project-save	content/ui/browser.lisp
sbrowser-preset-filter	eseq.browser/preset-filter	content/ui/browser.lisp
sbrowser-project-save-mode?	eseq.browser/project-save-mode?	content/ui/browser.lisp
sbrowser-refresh-buffer	eseq.browser/refresh-buffer	content/ui/browser.lisp
sbrowser-sample-selected-path	eseq.browser/sample-selected-path	content/ui/browser.lisp
sbrowser-select-audio-effect	eseq.browser/select-audio-effect	content/ui/browser.lisp
sbrowser-select-create-item	eseq.browser/select-create-item	content/ui/browser.lisp
sbrowser-select-midi-effect	eseq.browser/select-midi-effect	content/ui/browser.lisp
sbrowser-select-sample	eseq.browser/select-sample	content/ui/browser.lisp
sbrowser-select-tab	eseq.browser/select-tab	content/ui/browser.lisp
sbrowser-selected-audio-effect-name	eseq.browser/selected-audio-effect-name	content/ui/browser.lisp
sbrowser-selected-instrument-name	eseq.browser/selected-instrument-name	content/ui/browser.lisp
sbrowser-selected-sample	eseq.browser/selected-sample	content/ui/browser.lisp
sbrowser-selected-tags	eseq.browser/selected-tags	content/ui/browser.lisp
sbrowser-tabbed-content	eseq.browser/tabbed-content	content/ui/browser.lisp
sbrowser-tabs	eseq.browser/tab-rail	content/ui/browser.lisp
scene-macro-config	eseq.macros/scene-macro-config	content/ui/macros.lisp
scene-macro-controls	eseq.macros/scene-macro-controls	content/ui/macros.lisp
scene-macro-option-index	eseq.macros/scene-macro-option-index	content/ui/macros.lisp
scene-macro-options	eseq.macros/scene-macro-options	content/ui/macros.lisp
scene-macro-track-mask-with	eseq.macros/scene-macro-track-mask-with	content/ui/macros.lisp
scene-push-begin	eseq.transport/scene-push-begin	content/ui/transport.lisp
scene-push-drag	eseq.transport/scene-push-drag	content/ui/transport.lisp
scene-push-target	eseq.transport/scene-push-target	content/ui/transport.lisp
scene-push-value	eseq.transport/scene-push-value	content/ui/transport.lisp
select-all-steps	eseq.step-grid-interactions/select-all-steps	content/ui/step-grid-interactions.lisp
selected-bus	eseq.seq-core-state/selected-bus	content/ui/seq-core-state.lisp
selected-bus-name	eseq.seq-core-state/selected-bus-name	content/ui/seq-core-state.lisp
selection-click?	eseq.step-grid-interactions/selection-click?	content/ui/step-grid-interactions.lisp
seq-apply-fx-layout	eseq.seq-layout/apply-fx-layout	content/ui/seq-layout.lisp
seq-apply-instrument-patcher-layout	eseq.seq-layout/apply-instrument-patcher-layout	content/ui/seq-layout.lisp
seq-apply-instrument-patcher-source-layout	eseq.seq-layout/apply-instrument-patcher-source-layout	content/ui/seq-layout.lisp
seq-apply-lower-panel-layout	eseq.seq-layout/apply-lower-panel-layout	content/ui/seq-layout.lisp
seq-apply-piano-roll-layout	eseq.seq-layout/apply-piano-roll-layout	content/ui/seq-layout.lisp
seq-arrangement-view?	eseq.seq-step-tabs/seq-arrangement-view?	content/ui/seq-step-tabs.lisp
seq-clear-project-script-tabs	eseq.seq-step-tabs/seq-clear-project-script-tabs	content/ui/seq-step-tabs.lisp
seq-close-piano-roll	eseq.seq-panels/seq-close-piano-roll	content/ui/seq-panels.lisp
seq-ctrl-g	eseq.mixer/seq-ctrl-g	content/ui/mixer.lisp
seq-current-step-buffer	eseq.seq-panels/seq-current-step-buffer	content/ui/seq-panels.lisp
seq-delete-script-sequencer	eseq.seq-script-picker/seq-delete-script-sequencer	content/ui/seq-script-picker.lisp
seq-delete-script-sequencer-by-buffer	eseq.seq-script-picker/seq-delete-script-sequencer-by-buffer	content/ui/seq-script-picker.lisp
seq-grid-mode	eseq.seq-grid-mode/seq-grid-mode	content/ui/seq-grid-mode.lisp
seq-has-selected-bus?	eseq.seq-core-state/seq-has-selected-bus?	content/ui/seq-core-state.lisp
seq-hide-fx-panel	eseq.seq-panels/seq-hide-fx-panel	content/ui/seq-panels.lisp
seq-hide-mixer-panel	eseq.seq-panels/seq-hide-mixer-panel	content/ui/seq-panels.lisp
seq-hide-patch-macros-panel	eseq.seq-panels/seq-hide-patch-macros-panel	content/ui/seq-panels.lisp
seq-hide-samples-sidebar	eseq.seq-panels/seq-hide-samples-sidebar	content/ui/seq-panels.lisp
seq-layout-mode	eseq.seq-step-tabs/seq-layout-mode	content/ui/seq-step-tabs.lisp
seq-lower-panel-layout-spec	eseq.seq-layout/lower-panel-layout-spec	content/ui/seq-layout.lisp
seq-main-step-tab-buffer?	eseq.seq-step-tabs/seq-main-step-tab-buffer?	content/ui/seq-step-tabs.lisp
seq-main-step-tabs	eseq.seq-step-tabs/seq-main-step-tabs	content/ui/seq-step-tabs.lisp
seq-main-step-tile-layout-spec	eseq.seq-step-tabs/seq-main-step-tile-layout-spec	content/ui/seq-step-tabs.lisp
seq-main-view	eseq.seq-step-tabs/seq-main-view	content/ui/seq-step-tabs.lisp
seq-open-arrangement	eseq.seq-panels/seq-open-arrangement	content/ui/seq-panels.lisp
seq-open-arrangement-piano-roll-bottom-for-track	eseq.seq-panels/seq-open-arrangement-piano-roll-bottom-for-track	content/ui/seq-panels.lisp
seq-open-piano-roll-bottom	eseq.seq-panels/seq-open-piano-roll-bottom	content/ui/seq-panels.lisp
seq-open-piano-roll-bottom-for-track	eseq.seq-panels/seq-open-piano-roll-bottom-for-track	content/ui/seq-panels.lisp
seq-open-piano-roll-main	eseq.seq-panels/seq-open-piano-roll-main	content/ui/seq-panels.lisp
seq-open-piano-roll-preferred	eseq.seq-panels/seq-open-piano-roll-preferred	content/ui/seq-panels.lisp
